TIME;ID;LINK;POSITION;DISTANCE;STATE;VEHICLE
06:41:10.91;U_M75;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:42:00.00;U_M1239;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M1197;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M898;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M1090;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_B140;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M310;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M1138;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_B366;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M792;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M27;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_B551;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_B321;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M1262;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M1375;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M669;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M829;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_B87;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M1249;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M91;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M914;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M630;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M1259;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_B284;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:42:00.00;U_M183;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
